,title,date,content
79,갤럭시 z플립 자급제 가격 할인,2021.08.01.,갤럭시 z플립 자급제 가격 할인 좋은 제품을 저렴하게 살수 있는 정보는 누구나 좋아할거 같은데 이번 기회에 간단히 가격을 알아보실수 있도록 편리하게 알려드리니 갤럭시 z플립 확실히 알아두면 좋아요 ▶ 갤럭시 z플립...
80,z플립3 얼굴인식 저만 인식을 잘 못하나요 ? ? ?,6일 전,사용기종 : z플립 3 질문내용 : (구체적으로): 제목내용 그대로 얼굴인식 인식률이 너무 안좋은데 제것만 이런가요 ? ? ? ㅠㅠ 아이폰은 얼굴인식은 너무 느끼지도 못할정도로 스무스했는데 플립은 얼굴인식이 안될때가...
81,갤럭시 z플립 자급제 케이스 할인,2021.07.20.,갤럭시 z플립 자급제 케이스 할인 좋은 제품을 저렴하게 살수 있다면 누구나 마다하지 않을 정보인데 가격 비교라도 해보실수 있도록 간단하게 알려드리니 갤럭시 z플립 참고를 해보세요 ▶ 갤럭시 z플립 공식최저가...
82,갤럭시 z플립3 자급제 대신할 곳 찾았어요,7일 전,언박싱으로 플립3을! 좋다고 말해주니까 괜히 사전예약 잘 했다는 생각이..ㅋㅋ 가격하고는 개통하러 가면 정확히 알 것 같지만 보통 40만 원대로 개통하셨더라고요 갤럭시 z플립3 자급제 였으면 꿈도 못 꿀 가격이죠...
83,z플립 이부분 수리해보신분 계신가요?,2021.08.17.,제목에는 간략한 질문내용 표시 사용기종 : z플립 질문내용 : (구체적으로): 갑작이 빠져버렸네요 액정수리한지 2주 조금 넘었는데... 1번사진이 문제부분 2번사진이 정상사진
84,"갤럭시Z폴드3, 갤럭시Z플립3 품귀 현상 빚고 있네요",7일 전,삼성전자 갤럭시Z폴드3와 갤럭시Z플립3의 사전개통이 시작됐는데요 갤럭시Z플립3는 물량 부족으로 인해 배송이 지연되고 있다고 하네요 확실히 디자인 예쁘게 만드니까 준비된 물량이 금새 동나나 보네요
85,"Z플립3 전면정전기및 먼지붙음, 화면 덜 열림",4일 전,질문 대상 기기 ▶ Z플립3 블랙 질문 키워드 ▶ 화면 정전기 및 과도한 먼지 붙음 질문 내용 ▼ 개봉한지 2일차입니다. Z플립 기본필름입니다 Z플립 특성상 휴대폰을 반으로 접어서 주머니에 넣고 다니는데 이제 휴대폰을...
86,z플립3 투고 받아왔어용 ㅎㅎ,6일 전,"오늘 z플립 투고 픽업 다녀왔습니다,,, 사실 갈까말까 고민 하다가 3일이라도 써봐야 후회 안 할것 같아서... ㅠ 일단 저는 현재 12 프맥을 사용중이여서 플립이랑 비교해보고 싶었던게 카메라랑 배터리, 화면 비율, 스피커..."
87,z플립 고민중이에요,2021.08.03.,중인데 플립3 나올때까지 기다렸다 중고로 업어오는게 현명한 선택이겠죠? 아무래도 컨셉폰 같은 느낌이라 성능이 그렇게 뛰어나진 않을것 같은데 갤 s10 5g 랑 비교해서 답답하진 않을지도 궁금해요 + 전 맥이랑...
88,z플립 3 화이트,2021.08.22.,플립 리뷰영상보다가 꽂혀가지고 플립화이트를 구매하고싶은데요 지금 노트약정에 묶여있어서 자급제폰사다가 확정기변하고 노트는 정리하려고합니다. 근데 화이트색상은 삼성닷컴에서만 판매하는건가요? 시간은 좀...
89,Z플립,2일 전,"직접결제, Z플립, 판매를 위한 3개이상 글 등업도배 (활동제재대상) 1일 1개글 작성 (중복글 작성X) 대량(업자)판매 X 가짜상품판매 X 금액 필수 표시 O 해외, 도난물품 X 갤럭시Z플립판매합니다 상태는사진과동일합니다..."
